             JOBID PARTITION     NAME     USER  ACCOUNT ST       TIME  NODES NODELIST(REASON)
          51407297       gpu ondemand mjshetty eecs545w PD       0:00      1 (AssocGrpBillingMinutes)
          51428998       gpu ondemand mjshetty eecs545w PD       0:00      1 (AssocGrpBillingMinutes)
          51534280       gpu ondemand mjshetty eecs545w PD       0:00      1 (AssocGrpBillingMinutes)
          51594201       gpu ondemand      yid eecs545w PD       0:00      1 (AssocGrpGRES)
          51594210       gpu ondemand xiyutian eecs545w PD       0:00      1 (AssocGrpGRES)
          51594198       gpu ondemand   vbassi eecs545w PD       0:00      1 (AssocGrpGRES)
          51595853       gpu ondemand   vbassi eecs545w PD       0:00      1 (AssocGrpGRES)
          51603448       gpu ondemand xiyutian eecs545w PD       0:00      1 (AssocGrpGRES)
          51618734       gpu  oh_unet cyinyong eecs545w PD       0:00      1 (AssocGrpBillingMinutes)
          51669776       gpu  tc_unet cyinyong eecs545w PD       0:00      1 (AssocGrpBillingMinutes)
          51700450       gpu ondemand  sauravt eecs545w PD       0:00      1 (AssocGrpGRES)
          49187543       gpu     test   yongyi     vvh0 PD       0:00      1 (AssocGrpBillingMinutes)
          46086583       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086584       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086585       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086586       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086587       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086588       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086589       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086590       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086591       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          46086592       gpu vapor_pr  iblanco sglotzer PD       0:00      1 (AssocGrpBillingMinutes)
          52240747       gpu      CNN   vsilai mrover_t PD       0:00      1 (Priority)
          52240682       gpu      CNN   vsilai mrover_t PD       0:00      1 (Resources)
          52220503       gpu interact    panyj  mahlke0 PD       0:00      1 (AssocGrpGRES)
          51838434       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838435       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838436       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838437       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838438       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838439       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838440       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838441       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838442       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838443       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838444       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838445       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838446       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838447       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838448       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838449       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838450       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838451       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838452       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51838453       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839421       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839419       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839418       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839417       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839416       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839415       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839413       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839411       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839409       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839408       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839407       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839406       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839404       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839403       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839402       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839400       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839399       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839398       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839396       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839395       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839393       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839392       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839391       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839389       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839388       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839387       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839386       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839384       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839383       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839382       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839381       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839379       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839378       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839377       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839376       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839374       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839373       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839372       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839371       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839369       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839368       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839367       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839366       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839364       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839363       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839362       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839361       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839359       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839358       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839357       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839356       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839354       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839353       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839352       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839351       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839349       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839348       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839347       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839346       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839344       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839343       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839342       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839341       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839340       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839338       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839337       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839335       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839333       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839332       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839331       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839329       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839328       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839327       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839325       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839324       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839323       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839321       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839320       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839319       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839317       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839316       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839315       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839314       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839312       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839311       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839310       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839309       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839307       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839306       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839305       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839304       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839302       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839301       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839300       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839299       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839297       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
          51839296       gpu neuronep   ronsun  forger0 PD       0:00      1 (AssocGrpGRES)
